date,price,open,high,low,vol.,change %
2018-10-30,6325.7,6336.7,6469.9,6316.5,128210.00000000001,-0.15
2018-10-31,6365.9,6327.9,6405.7,6257.8,129060.0,0.64
2018-11-01,6400.5,6365.9,6421.8,6354.2,124160.0,0.54
2018-11-02,6424.7,6400.5,6444.3,6390.9,135870.0,0.38
2018-11-03,6386.2,6424.5,6429.5,6346.2,112840.0,-0.6
2018-11-04,6478.2,6386.2,6508.9,6359.7,128759.99999999999,1.44
2018-11-05,6459.7,6478.2,6489.2,6431.7,128509.99999999999,-0.29
2018-11-06,6502.8,6460.4,6509.6,6441.6,154870.0,0.67
2018-11-07,6565.3,6503.1,6594.3,6502.0,170760.0,0.96
2018-11-08,6474.0,6565.3,6577.3,6466.3,159300.0,-1.39
2018-11-09,6412.0,6473.8,6496.1,6390.0,151600.0,-0.96
2018-11-10,6427.1,6411.9,6461.7,6411.7,115870.0,0.24
2018-11-11,6446.1,6427.1,6451.7,6359.0,127400.0,0.3
2018-11-12,6435.0,6445.0,6475.9,6409.4,130160.0,-0.17
2018-11-13,6429.2,6435.0,6466.8,6386.7,137600.0,-0.09
2018-11-14,5842.4,6428.9,6453.3,5619.2,438210.0,-9.13
2018-11-15,5718.9,5854.0,5878.5,5384.1,375860.0,-2.11
2018-11-16,5636.2,5723.5,5747.7,5539.7,224120.0,-1.45
2018-11-17,5621.8,5636.2,5645.5,5561.4,156510.0,-0.26
2018-11-18,5658.3,5621.0,5727.9,5615.5,158680.0,0.65
2018-11-19,4883.8,5660.4,5662.5,4831.1,478260.0,-13.69
2018-11-20,4524.6,4883.6,5013.4,4272.3,714080.0,-7.36
2018-11-21,4638.7,4523.0,4743.7,4393.0,412740.0,2.52
2018-11-22,4356.0,4646.4,4695.7,4346.7,261850.00000000003,-6.09
2018-11-23,4398.0,4360.9,4455.6,4223.7,348990.0,0.96
2018-11-24,3920.4,4397.3,4494.6,3821.5,382720.0,-10.86
2018-11-25,4062.2,3920.3,4198.4,3634.2,619950.0,3.62
2018-11-26,3837.0,4061.0,4179.0,3679.8,571040.0,-5.54
2018-11-27,3866.5,3840.3,3920.6,3687.8,457270.0,0.77
2018-11-28,4265.4,3866.4,4391.8,3866.4,533040.0,10.32
2018-11-29,4296.5,4265.5,4440.1,4140.6,414460.0,0.73
2018-11-30,4039.7,4296.8,4340.6,3954.5,444520.0,-5.98
2018-12-01,4196.2,4038.7,4299.1,3967.1,316300.0,3.87
2018-12-02,4160.4,4196.2,4316.1,4105.3,298630.0,-0.85
2018-12-03,3897.8,4160.3,4177.0,3839.9,355100.0,-6.31
2018-12-04,3958.5,3899.9,4082.9,3809.3,326710.0,1.56
2018-12-05,3771.6,3958.1,3974.1,3765.2,341600.0,-4.72
2018-12-06,3508.6,3771.4,3887.2,3505.7,467540.0,-6.97
2018-12-07,3422.2,3508.9,3626.6,3251.8,639330.0,-2.46
2018-12-08,3430.4,3422.3,3507.7,3302.9,424400.0,0.24
2018-12-09,3567.5,3430.3,3677.6,3424.2,327930.0,4.0
2018-12-10,3460.5,3566.9,3622.4,3412.7,394490.0,-3.0
2018-12-11,3407.7,3460.4,3485.9,3349.9,418530.0,-1.53
2018-12-12,3466.1,3390.2,3510.2,3379.4,391170.0,1.72
2018-12-13,3315.3,3466.2,3474.4,3284.8,435890.0,-4.35
2018-12-14,3247.8,3315.4,3336.6,3199.1,445560.0,-2.04
2018-12-15,3228.7,3247.8,3282.3,3177.0,332950.0,-0.59
2018-12-16,3247.9,3228.6,3305.0,3225.9,335690.0,0.6
2018-12-17,3526.1,3248.3,3597.4,3243.1,534780.0,8.57
